question,answer,id
"ঠিকানা পরিবর্তনের জন্য আবেদন করেছি, মোবাইলে মেসেজ পেয়েছি, অনুমোদন হতে কতদিন লাগবে?",আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।,1
এনআইডি নিবন্ধনের পূর্ব শর্ত কি কি?,"ভোটার হওয়ার পূর্ব শর্তগুলো হলো
  ক) জন্মসূত্রে বাংলাদেশের নাগরিক হতে হবে। 
  খ) বয়স ১৮ বছর কম বয়স্ক নহেন।  
  গ) কোন উপযুক্ত আদালত কর্তৃক অপ্রকৃতিস্থ বলিয়া ঘোষিত নহেন।
  (ঘ) উক্ত ভোটার এলাকা বা ক্ষেত্রমত, নির্বাচনী এলাকার অধিবাসী বা অধিবাসী বলিয়া গণ্য হন।  
  (ঙ) বাংলাদেশ Bangladesh Collaborators (Special Tribunals) order, 1972 (P.O. No. 8 of 1972) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন এবং
 (চ) International Crimes (Tribunals) Act, 1973 (Act No. XIX of 1973) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন।",2
NID নম্বর বার বার দেওয়ার পর তথ্য পাওয়া যাচ্ছেনা এক্ষেত্রে আমার করণীয় কী?,land_office_nid_verification_problem,3
এনআইডি কর্ডে পুনরায় রি-ইস্যুর সীমা কী?,reissue_multiple_applications_allowed,4
এনআইডি কার্ড জরুরী ভিত্তিতে কিভাবে সংগ্রহ করতে পারবো?,reissue_normal_to_urgent_upgrade_not_possible,5
Match Found হলে উপজেলা নির্বাচন অফিস থেকে সমাধান নেওয়া সম্ভব?,match_found_new_voter_no_nid,6
"অনেকদিন হয়ে গেছে রিইস্যু আবেদন করেছি এখনো পেন্ডিং দেখাচ্ছে, কতদিন লাগবে?","দুঃখিত, আপনি সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করুন।",7
ফিংগারপ্রিন্ট একেবারেই নেই। করনীয় কি?,disability_no_hands_registration_procedure,8
এনআইডি Wallet এ ফেস ভেরিফিকেশন করতে পারছি না।,অনুগ্রহপূর্বক এনআইডি wallet অ্যাপে প্রদর্শিত নির্দেশনা অনুযায়ী সঠিকভাবে আপনার চেহারা ক্যামেরার সামনে তুলে ধরুন। পর্যাপ্ত আলোর ব্যবস্থা আছে কিনা চেক করুন। এরপরেও সমাধান না হয়ে থাকলে অন্য কোনো স্মার্টফোন ব্যবহারকারীর সাহায্য নিয়ে ফেস ভেরিফিকেশন সম্পন্ন করুন।,9
নতুন ভোটার কার্ডে স্থায়ী ঠিকানায় উপজেলা ও ইউনিয়ন দেখানো না হলে রি-ইস্যুর জন্য কি পদক্ষেপ নেওয়া উচিত?,address_change_update_timing,10
এনআইডি নিবন্ধনের জন্য ফি প্রদান করতে হয় কি?,নতুন ভোটার অথবা এনআইডি নিবন্ধনের জন্য কোন প্রকার ফি প্রদান করতে হয় না।,11
নতুন ভোটার হওয়ার জন্য অনলাইনে আবেদন করার পর কি কি কাগজপত্র জমা দিতে হয়?,"নিবন্ধনের জন্য অনলাইনে পূরণকৃত নিবন্ধন ফর্মের প্রিন্ট কপির সঙ্গে যেসব কাগজপত্র জমা দিতে হবেঃ  
  (১) ১৭ ডিজিটের অনলাইন জন্মসনদের কপি।
  (২) জাতীয়তা/নাগরিকত্ব সনদের কপি।
  (৩) পিতা-মাতা, ভাই-বোনের এনআইডির কপি। পিতা-মাতা মৃত হলে অনলাইন মৃত্যু সনদের কপি।  
  (৪) বিবাহিত হলে স্বামী/ স্ত্রীর এনআইডির কপি।
  (৫) এসএসসি/দাখিল/সমমান অথবা অষ্টম শ্রেণি পাশের সনদের কপি (প্রযোজ্য ক্ষেত্রে)।
 (৬) ইউটিলিটি বিলের (বিদ্যুৎ/গ্যাস/পানি/চৌকিদারী ট্যাক্স রশিদ) ফটোকপি।",12
স্থায়ী ঠিকানা সংশোধনের আবেদন কি অনলাইনে করা যাবে?,"আপনি যদি বর্তমান ঠিকানায় ভোটার হয়ে থাকেন, তাহলে স্থায়ী ঠিকানা সংশোধনের আবেদন অনলাইনে করা যাবে।",13
রি- ইস্যুর আবেদন মৃত্যু ব্যক্তির কার্ড উত্তোলনের জন্য কি করা যাবে?,deceased_person_reissue_not_allowed,14
এনআইডির রি-ইস্যুর আবেদন কি অফিসে গিয়ে করবো?,reissue_online_or_offline,15
অনলাইনে নিবন্ধন না করে কি সরাসরি দূতাবাসে গিয়ে ভোটার তালিকায় নাম অন্তর্ভুক্ত করা সম্ভব?,abroad_reapplication_after_rejection,16
নতুন এনআইডি নিবন্ধনের জন্য বয়স কত হতে হয়?,যাদের জন্ম তারিখ ১ জানুয়ারি ২০০৮ বা তার পূর্বে তারা এনআইডি নিবন্ধনের জন্য আবেদন করতে পারবে।,17
চোখ অ্যালার্জী আছে। নতুন ভোটার হতে চাই। করণীয় কি ?,present_address_field_missing,18
স্মার্ট কার্ড হারিয়ে গেলে আবার কোন ফি ছাড়াই নতুন স্মার্ট কার্ড ইস্যু করা সম্ভব?,smart_card_second_print_not_available,19
"বাবা-মায়ার তালাক অনেক আগে হয়ে যাওয়ার পরও এনআইডিতে দ্বিতীয় পিতার তথ্য থাকলে, ব্যক্তির বায়োলজিক্যাল পিতার ঠিকানায় স্থায়ী ঠিকানা সংশোধন করার জন্য কি ধাপ গ্রহণ করা যায়?",address_change_wrong_voter_area,20
রি- ইস্যু নরমাল আবেদন ফি কত?,reissue_normal_fee_amount,21
এতিমখানায় থাকলে এনআইডি করার জন্য কোন ঠিকানাকে স্থায়ী ঠিকানা হিসেবে ব্যবহার করা যায়?,address_wife_property_ownership,22
NID Status দেখার জন্য আমার একাউন্টে যাবার পরে আবেদনের কোন আপডেট দেখা যায় না । এক্ষেত্রে কিভাবে আমি আমার আবেদন আপডেটের তথ্য পেতে পারি। আমার একাউন্ট থেকে দেখতে পারি?,correction_application_status_not_showing,23
রকেটে কিভাবে এনআইডি সংশোধন ফি জমা দিতে হয়?,মোবাইল ব্যাংকিংয়ের মাধ্যমে রকেটের ক্ষেত্রে “বিল পে” অপশনে গিয়ে “ইসি বাংলাদেশ” অপশন থেকে এনআইডি ফি প্রদান করা যাবে।,24
স্থানান্তর করা হয়েছে কার্ড পেতে কত টাকা লাগে?,migration_application_fee_amount,25
ভোটার স্থানান্তরের পর পুনরায় কার্ড ইস্যুর সময় ঠিকানায় উপজেলা এবং ইউনিয়ন তথ্য অনুপস্থিত থাকলে কোন অফিসে বা কিভাবে সমাধান করতে হবে?,address_change_update_timing,26
স্মার্ট কার্ডে চিপ থাকার কারনে কি কেউ মালিকের অনুপস্থিতে বেআইনি কাজে এটি ব্যবহার করতে পারে?,smart_card_chip_reader_requirement,27
আমি একটি সংশোধনের আবেদন করেছি । কিন্তু আরো কিছু তথ্য সংশোধনের প্রয়োজন। এখন কি এনআইডি পোর্টাল থেকে এই আবেদন বাতিল করা সম্ভব?,correction_application_portal_cancellation_impossible,28
সংশোধনের আবেদন করেছিলাম। এখন অনুমোদন হয়েছে। আগের নম্বর পাচ্ছিনা। NID কি পরিবর্তন হয়েছে?,reissue_nid_number_change_query,29
ইমিগ্রেশনের ক্ষেত্রে স্মার্ট কার্ডে দেওয়া ফিঙ্গার ও আইরিশের কার্যকারিতা শুরু হবে কবে থেকে?,smart_card_security_breach_concerns,30
স্থায়ী ঠিকানা পরিবর্তনের জন্য কি কি কাগজপত্র লাগে?,"স্থায়ী ঠিকানা পরিবর্তনের জন্য প্রয়োজনীয় দলিলাদি
 (১) অনলাইন জন্ম নিবন্ধন সনদ।
 (২) নাগরিকত্ব সনদ।
 (৩) স্থায়ী ঠিকানার ইউটিলিটি বিলের কপি (গ্যাস/বিদ্যুৎ/পানি)।
 (৪) ভূমি উন্নয়ন ট্যাক্স পরিশোধের রশিদ/ চৌকিদারী রশিদ।
 (৫) পিতা/মাতা/ স্বামী/স্ত্রীর এনআইডি।
 (৬) ফ্ল্যাট/জমির দলিলাদি।",31
"যখন ভোটার হই, তখন ছিলাম এক জেলায়। আমার বাড়ি অন্য জেলায়। আমি কি দুই ঠিকানায় একসাথে পরিবর্তনের আবেদন করতে পারব?",migration_personal_attendance_required,32
"এনআইডি কার্ড নষ্ট হয়ে গেছে, নতুন কার্ড কীভাবে পাবো?",এনআইডি নম্বর জানা থাকলে সরাসরি অনলাইনে আবেদন করুন।,33
আমার সন্তান যদি বিদেশে জন্মগ্রহণ করে তবে কি সে বাংলাদেশে ভোটার হতে পারবে?,dual_citizen_child_born_abroad,34
স্মার্ট কার্ডে ছবির নিচে টিপসই অংশ ঝাপসা বা দেখা না যাওয়ার কারণ কি হতে পারে?,smart_card_online_services_access,35
"আমি স্বাক্ষর দিয়েছি, এখন স্বাক্ষরের পরিবর্তে টিপসই দিতে চাই । করণীয় কি?",signature_to_fingerprint_reversal_not_allowed,36
ভোটার এলাকায় নিজের বাড়ি না থাকলে কি ভোটার হওয়া যাবে?,"আপনি যদি বাংলাদেশের প্রকৃত নাগরিক হন এবং আপনার যদি অনলাইন জন্ম সনদ থাকে তাহলে আপনি বর্তমান অথবা স্থায়ী যে কোন ঠিকানায় ভোটার হতে পারবেন।
  তবে আপনি ভাড়াটিয়া হয়ে থাকলে অতিরিক্ত হিসাবে ভাড়াটিয়া চুক্তিপত্র/ সংশ্লিষ্ট এলাকায় নাগরিকত্ব সনদ/ বাড়িওয়ালার জাতীয় পরিচয়পত্র ও বিদ্যুত বিলের কপি দাখিল করতে হবে।  
 ভূমিহীন হয়ে থাকলে “ভূমিহীন সনদ” সংগ্রহপূর্বক সংশ্লিষ্ট এলাকায় ভোটার হওয়ার জন্য আবেদন করতে পারবেন।",37
অনলাইনে বর্তমান ঠিকানা পরিবর্তন করতে কী ধরনের প্রমাণপত্র বা ডকুমেন্ট আপলোড করতে হয়?,present_permanent_address_difference,38
একটি ব্যক্তি একাধিক এনআআইডি রাখতে পারবে কি না?,fingerprint_update_delay_problem,39
কাগজপত্র উপজেলা অফিসে জমা দেওয়ার ৭ দিনের মধ্যে ছবি তোলার জন্য এস এম এস আসে?,document_submission_photo_sms_timing,40
আমার নামের কিছু আংশিক পরিবর্তন করতে হবে ও ভোটার এলাকা স্থানান্তর করতে চাই?,migration_permanent_present_address_confusion,41
এনআইডি অনলাইন পোর্টালে রেজিষ্ট্রেশন করবো কিভাবে?,"অনলাইন পোর্টালের মাধ্যমে জাতীয় পরিচয় পত্র সংশোধন, স্থায়ী ঠিকানা পরিবর্তন, হারানো/ নষ্ট এনআইডি কার্ড পেতে ভিজিট করুন services.nidw.gov.bd/ অতঃপর “রেজিস্টার করুন” বাটনে ক্লিক করে প্রয়োজনীয় তথ্য সরবরাহ করুন। নির্দেশনা মোতাবেক আপনার ফেস ভেরিফিকেশনের মাধ্যমে রেজিস্ট্রেশন কার্যক্রম সম্পন্ন করুন।",42
আমার ম্যাচ ফাউন্ড ঢাকায় আসা লাগবে কেনো?,disability_foot_prints_afis_alternative,43
"আঙ্গুলের ছাপ আপডেট করতে দিয়েছিলাম, অনেক দিন হলো। আর কতোদিন লাগবে?",profession_government_to_housewife_documents,44
বিদেশে থাকাকালীন এবং অন্য দেশের নাগরিক হলে আমি কি বাংলাদেশের ভোটার তালিকায় থাকবো?,dual_citizenship_multiple_country_implications,45
"অপারেটর ভুল আপলডের কারনে তথ্য পরিবর্তন করতে হলে আমি কোন আবেদন ফি দিব, যাখন ফরম-০২ তে আমার তথ্য ঠিক ছিল?",operator_error_fee_responsibility,46
একই তথ্য কতবার সংশোধন/ পরিবর্তন করা যায়?,জাতীয় তথ্য ভান্ডারে রক্ষিত তথ্য প্রয়োজনীয় দলিলাদির ভিত্তিতে সাধারণত একবার সংশোধন করা হয়। তবে উপযুক্ত দলিলাদি উপস্থাপন সাপেক্ষে পুনরায় আবেদন করলে কর্তৃপক্ষ যাচাই-বাছাই করে সিদ্ধান্ত গ্রহণ করতে পারে।,47
"নতুন ভোটারের জন্য আবেদন করেছি, কিন্তু জন্ম নিবন্ধন অন্য ঠিকানায়, কি করণীয়?",নতুন ভোটার আবেদনের জন্য অনলাইন জন্ম সনদে উল্লেখিত বর্তমান ও স্থায়ী যে কোন একটি ঠিকানা ব্যবহার করা যাবে।,48
ভুলবশত অন্য কারো এনআইডিতে রি-ইস্যুর টাকা পেমেন্ট করেছি। এখন সমাধান কি?,reissue_wrong_nid_payment_no_refund,49
স্থানান্তরের জন্য কোনো ফিশ না থাকলেও উপজেলা অফিস কেন আমার কাছ থেকে ১০৫ টাকা নিচ্ছে?,bribery_complaint_procedure,50
